University_name,Region,State,Founded_year,Number_of_years,Motto,UK_rank,World_rank,CWUR_score,Minimum_IELTS_score,UG_average_fees_(in_pounds),PG_average_fees_(in_pounds),International_students_percent,International_students,Student_satisfaction,Student_enrollment,Academic_staff,Control_type,Academic_Calender,Campus_setting,Estimated_cost_of_living_per_year,Latitude,Longitude,Website
Bangor University,Wales,Wales,1884,138,The Best Gift is Knowledge,47,413,71.9,5.5,12500,12500,0.237,23.7,0.818,8802,"1,000-1,499",Public,Semesters,NA,7771,53.2295,-4.13,www.bangor.ac.uk
"Goldsmiths, University of London",London,England,1904,118,Institute for Creative and Cultural Entrepreneurship,48,416,66.7,5.5,12710,12710,0.378,37.8,0.72,9325,"1,000-1,499",Public,NA,Urban,8000,51.4743,-0.0354,www.gold.ac.uk
Liverpool John Moores University,North West England,England,1992,30,Fortune Assists the Bold,49,423,71.3,4.5,11000,11000,0.167,16.7,0.791,20662,"1,500-1,999",Public,Semesters,Urban,7471,53.4037,-2.9731,ljmu.ac.uk
Middlesex University,London,England,1973,49,NA,50,434,67.5,4,11200,13000,0.467,46.7,0.74,15645,"1,000-1,499",Public,Semesters,NA,9000,51.5897,-0.2293,www.mdx.ac.uk
Northumbria University,North East England,England,1992,30,The age of learning,51,436,71.1,4.5,11500,11500,0.195,19.5,0.783,21529,"1,000-1,499",Public,Semesters,Urban,8000,54.9769,-1.6072,www.unn.ac.uk
Plymouth University,South West England,England,1856,166,Explore Dream Discover,52,443,72.7,4.5,12250,13250,0.159,15.9,0.799,16505,100-199,Private,NA,NA,7500,50.3759,-4.1396,www.plym.ac.uk
"SOAS, University of London",London,England,1916,106,Knowledge is Power,53,446,68.5,5.5,16880,16880,0.546,54.6,0.712,4633,700-799,Public,NA,Urban,10229,51.5224,-0.1293,www.soas.ac.uk/
University of Strathclyde,Scotland,Scotland,1964,58,The Place of Useful Learning,54,448,74.3,5.5,14250,13850,0.27,27,0.789,19337,"1,500-1,999",Public,Semesters,Urban,9000,55.8621,-4.2424,www.strath.ac.uk
University of the Arts London,London,England,1986,36,First among artists,55,459,NA,5.5,15950,17250,0.427,42.7,0.701,18564,"2,000-2,499",Public,NA,NA,12000,51.5178,-0.1164,www.arts.ac.uk/
University of the West of England,South West England,England,1992,30,"Light, Liberty, Learning",56,469,68.8,4.5,11250,11250,0.21,21,0.831,23322,"1,500-1,999",Public,Semesters,Suburban,8217,51.5006,-2.5474,www.uwe.ac.uk
Aberystwyth University,Wales,Wales,1872,150,A world without knowledge is no world at all,57,470,71,4.5,10500,11250,0.231,23.1,0.861,6446,700-799,Public,Semesters,Suburban,7771,52.4183,-4.0639,www.aber.ac.uk/
Birmingham City University,West Midlands,England,1992,30,Do what you are doing; attend to your business,58,503,NA,4.5,13500,14500,0.24,24,0.773,21703,"1,500-1,999",Public,Semesters,Urban,6000,52.4833,-1.8848,www.bcu.ac.uk
Edinburgh Napier University,Scotland,Scotland,1992,30,"Without knowledge, everything is in vain",59,546,66.2,4.5,11250,12000,0.329,32.9,0.759,10812,800-899,Public,Trimesters,Urban,8000,55.9332,-3.2142,www.napier.ac.uk
Heriot-Watt University,Scotland,Scotland,1966,56,Leaders in ideas and solutions,60,551,72.2,5.5,13020,13420,0.363,36.3,0.779,9493,800-899,Public,NA,Suburban,8000,55.9112,-3.3217,www.hw.ac.uk
Keele University,West Midlands,England,1962,60,Thanke God for All,61,558,70.6,5.5,12500,13500,0.157,15.7,0.825,9122,800-899,Public,Semesters,Rural,8000,53.003,-2.2721,www.keele.ac.uk
University of Lincoln,East of England,England,1992,30,Excellence through study,62,567,68.4,4.5,12800,15700,0.094,9.4,0.793,13925,"1,000-1,499",Public,Semesters,Urban,9415,53.2279,-0.5502,www.lincoln.ac.uk
Nottingham Trent University,East Midlands,England,1992,30,NA,63,572,69.6,4.5,12163,12117,0.206,20.6,0.817,27218,"2,000-2,499",Public,Quarters,Urban,9398,52.9581,-1.1542,www.ntu.ac.uk
